t,T,ferrite,pearlite,bainite,martensite,austenite
252.0,874.0,0.0,0.0,0.0,0.0,1.0
254.0,873.0,0.0,0.0,0.0,0.0,1.0
256.0,871.9999999999999,0.0,0.0,0.0,0.0,1.0
258.0,871.0000000000001,0.0,0.0,0.0,0.0,1.0
260.0,869.9999999999997,0.0,0.0,0.0,0.0,1.0
262.0,869.0,0.0,0.0,0.0,0.0,1.0
264.0,867.9999999999998,0.0,0.0,0.0,0.0,1.0
266.0,867.0,0.0,0.0,0.0,0.0,1.0
268.0,865.9999999999995,0.0,0.0,0.0,0.0,1.0
270.0,864.9999999999995,0.0,0.0,0.0,0.0,1.0
272.0,863.9999999999995,0.0,0.0,0.0,0.0,1.0
274.0,863.0,0.0,0.0,0.0,0.0,1.0
276.0,862.0,0.0,0.0,0.0,0.0,1.0
278.0,860.9999999999999,0.0,0.0,0.0,0.0,1.0
280.0,860.0000000000001,0.0,0.0,0.0,0.0,1.0
282.0,858.9999999999999,0.0,0.0,0.0,0.0,1.0
284.0,858.0,0.0,0.0,0.0,0.0,1.0
286.0,857.0000000000001,0.0,0.0,0.0,0.0,1.0
288.0,855.9999999999999,0.0,0.0,0.0,0.0,1.0
290.0,855.0,0.0,0.0,0.0,0.0,1.0
292.0,854.0000000000001,0.0,0.0,0.0,0.0,1.0
294.0,852.9999999999999,0.0,0.0,0.0,0.0,1.0
296.0,851.9999999999999,0.0,0.0,0.0,0.0,1.0
298.0,850.9999999999995,0.0,0.0,0.0,0.0,1.0
300.0,849.9999999999995,0.0,0.0,0.0,0.0,1.0
302.0,848.9999999999999,0.0,0.0,0.0,0.0,1.0
304.0,848.0000000000001,0.0,0.0,0.0,0.0,1.0
306.0,846.9999999999999,0.0,0.0,0.0,0.0,1.0
308.0,846.0,0.0,0.0,0.0,0.0,1.0
310.0,845.0,0.0,0.0,0.0,0.0,1.0
312.0,844.0,0.0,0.0,0.0,0.0,1.0
314.0,842.9999999999999,0.0,0.0,0.0,0.0,1.0
316.0,842.0000000000001,0.0,0.0,0.0,0.0,1.0
318.0,840.9999999999999,0.0,0.0,0.0,0.0,1.0
320.0,840.0,0.0,0.0,0.0,0.0,1.0
322.0,838.9999999999999,0.0,0.0,0.0,0.0,1.0
324.0,837.9999999999998,0.0,0.0,0.0,0.0,1.0
326.0,837.0000000000002,0.0,0.0,0.0,0.0,1.0
328.0,835.9999999999999,0.0,0.0,0.0,0.0,1.0
330.0,834.9999999999998,0.0,0.0,0.0,0.0,1.0
332.0,834.0,0.0,0.0,0.0,0.0,1.0
334.0,832.9999999999998,0.0,0.0,0.0,0.0,1.0
336.0,831.9999999999993,0.0,0.0,0.0,0.0,1.0
338.0,830.9999999999999,0.0,0.0,0.0,0.0,1.0
340.0,830.0000000000001,0.0,0.0,0.0,0.0,1.0
342.0,828.9999999999999,0.0,0.0,0.0,0.0,1.0
344.0,828.0,0.0,0.0,0.0,0.0,1.0
346.0,826.9999999999998,0.0,0.0,0.0,0.0,1.0
348.0,825.9999999999995,0.0,0.0,0.0,0.0,1.0
350.0,824.9999999999995,0.0,0.0,0.0,0.0,1.0
352.0,823.9999999999999,0.0,0.0,0.0,0.0,1.0
354.0,822.9999999999998,0.0,0.0,0.0,0.0,1.0
356.0,822.0,0.0,0.0,0.0,0.0,1.0
358.0,821.0,0.0,0.0,0.0,0.0,1.0
360.0,820.0,0.0,0.0,0.0,0.0,1.0
362.0,819.0,0.0,0.0,0.0,0.0,1.0
364.0,817.9999999999998,0.0,0.0,0.0,0.0,1.0
